#Word	Part of Speech	definition	lesson number	parsing info	notes	hints
ἀπολύω	verb	I release	14	"present, active, indicative, 1st person, singular"		
ἀπολύσω	verb	I will release	14	"future, active, indicative, 1st person, singular"		
ἀπέλυσα	verb	I released	14	"aorist, active, indicative, 1st person, singular"		
ἐκήρυξα	verb	"I will preach, I will proclaim"	14	"aorist, active, indicative, 1st person, singular"		
ἐπιστρέφω	verb	"I turn, I return"	14	"present, active, indicative, 1st person, singular"		
ἐπιστρέψω	verb	"I will turn, I will return"	14	"future, active, indicative, 1st person, singular"		
ἐπέστρεψα	verb	"I turned, I returned"	14	"aorist, active, indicative, 1st person, singular"		
ἑτοιμάζω	verb	I prepare	14	"present, active, indicative, 1st person, singular"		
ἑτοιμάσω	verb	I will prepare	14	"future, active, indicative, 1st person, singular"		
ἡτοίμασα	verb	I prepared	14	"aorist, active, indicative, 1st person, singular"		
ἤδη	adverb	already	14			
θαυμάζω	verb	"I wonder, I marvel"	14	"present, active, indicative, 1st person, singular"		
θαυμάσω	verb	"I will wonder, I will marvel"	14	"future, active, indicative, 1st person, singular"		
ἐθαύμασα	verb	"I wondered, I marveled"	14	"aorist, active, indicative, 1st person, singular"		
θεραπεύω	verb	I heal	14	"present, active, indicative, 1st person, singular"		"""therapy, therapeutic"""
θεραπεύσω	verb	I will heal	14	"future, active, indicative, 1st person, singular"		
ἐθεράπευσα	verb	I healed	14	"aorist, active, indicative, 1st person, singular"		
πείθω	verb	I persuade	14	"present, active, indicative, 1st person, singular"		
πείσω	verb	I will persuade	14	"future, active, indicative, 1st person, singular"		
ἔπεισα	verb	I persuaded	14	"aorist, active, indicative, 1st person, singular"		
πιστεύω	verb	I believe	14	"present, active, indicative, 1st person, singular"	takes the dative (e.g. I believe him); often used with είς + accusative (e.g. I believe on/in him)	
πιστεύσω	verb	I will believe	14	"future, active, indicative, 1st person, singular"		
ἐπίστευσα	verb	I believed	14	"aorist, active, indicative, 1st person, singular"		
ὑποστρέφω	verb	I return	14	"present, active, indicative, 1st person, singular"		
ὑποστρέψω	verb	I will return	14	"future, active, indicative, 1st person, singular"		
ὑπέστρεψα	verb	I returned	14	"aorist, active, indicative, 1st person, singular"		
γάρ	conjunction	for	15			
ἔβαλον	verb	"I threw, I cast"	15	"aorist, active, indicative, 1st person, singular"		
ἐγενόμην	verb	I became	15	"aorist, middle, indicative, 1st person, singular"		
εἶδον	verb	I saw	15	"aorist, active, indicative, 1st person, singular"		
εἶπον	verb	I said	15	"aorist, active, indicative, 1st person, singular"		
ἔλαβον	verb	I took	15	"aorist, active, indicative, 1st person, singular"		
ἤγαγον	verb	I led	15	"aorist, active, indicative, 1st person, singular"		
ἦλθον	verb	"I came, I went"	15	"aorist, active, indicative, 1st person, singular"		
ἤνεγκα	verb	"I bore, I brought"	15	"aorist, active, indicative, 1st person, singular"	"1st aorist, but conjugated with -κα instead of -σα)"	
ὁράω	verb	I see (synonym of βλέπω)	15	"present, active, indicative, 1st person, singular"		
ἀναλαμβάνω	verb	I take up	16	"present, active, indicative, 1st person, singular"		
ἐβλήθην	verb	"I was thrown, I was cast"	16	"aorist, passive, indicative, 1st person, singular"		
ἐγενήθην	verb	I became	16	"aorist, passive, indicative, 1st person, singular"	deponent	
ἐγνώσθην	verb	I was known	16	"aorist, passive, indicative, 1st person, singular"		
ἐδιδάχθην	verb	I was taught	16	"aorist, passive, indicative, 1st person, singular"		
ἐκηρύχθην	verb	"I was preached, I was proclaimed"	16	"aorist, passive, indicative, 1st person, singular"		
ἐλήμφθην	verb	"I was taken, I was received"	16	"aorist, passive, indicative, 1st person, singular"		
ἐπορεύθην	verb	I went	16	"aorist, passive, indicative, 1st person, singular"	deponent	
ἠγέρθην	verb	I was raised	16	"aorist, passive, indicative, 1st person, singular"		
ἠκούσθην	verb	I was heard	16	"aorist, passive, indicative, 1st person, singular"		
ἠνέχθην	verb	"I was borne, I was brought"	16	"aorist, passive, indicative, 1st person, singular"		
ἤχθην	verb	I was led	16	"aorist, passive, indicative, 1st person, singular"		
ὤφθην	verb	I was seen	16	"aorist, passive, indicative, 1st person, singular"		
"ἅγιος, -α, -ον"	adjective	holy	17	"singular, nominative"		
ἅγιοι	noun	the saints	17	"masculine, plural, nominative"		
"αἷμα, αἵματος"	noun	blood	17	"neuter, singular, nominative/genitive"		
"αἰών, αἰῶνος"	noun	an age	17	"masculine, singular, nominative/genitive"		
εἰς τὸν αἰῶνα	phrase	forever	17			
εἰς τοὺς αἰῶνας τῶν αἰώνων	phrase	forever and ever	17			
"ἄρχων, ἄρχοντος"	noun	a ruler	17	"masculine, singular, nominative/genitive"		
"γράμμα, γράμματος"	noun	a letter	17	"neuter, singular, nominative/genitive"		
"ελπίς, ἐλπίδος"	noun	a hope	17	"feminine, singular, nominative/genitive"		
"θέλημα, θελήματος"	noun	a will	17	"neuter, singular, nominative/genitive"		
"νύξ, νυκτός"	noun	a night	17	"feminine, singular, nominative/genitive"		
"ὄνομα, ὀνόματος"	noun	a name	17	"neuter, singular, nominative/genitive"		
"πνεῦμα, πνεύματος"	noun	"a spirit, the Spirit"	17	"neuter, singular, nominative/genitive"		
"ῥῆμα, ῥήματος"	noun	a word	17	"neuter, singular, nominative/genitive"		
"σάρξ, σαρκός"	noun	flesh	17	"feminine, singular, nominative/genitive"		
"σῶμα, σώματος"	noun	a body	17	"neuter, singular, nominative/genitive"		
