#Word	Part of Speech	definition	lesson number	parsing info	notes
βλέπω	verb	I see	3	"present, active, indicative, 1st person, singular"	
γινώσκω	verb	I know	3	"present, active, indicative, 1st person, singular"	
γράφω	verb	I write	3	"present, active, indicative, 1st person, singular"	
διδάσκω	verb	I teach	3	"present, active, indicative, 1st person, singular"	
ἔχω	verb	I have	3	"present, active, indicative, 1st person, singular"	
λαμβάνω	verb	"I take, I receive"	3	"present, active, indicative, 1st person, singular"	
λέγω	verb	I say	3	"present, active, indicative, 1st person, singular"	
λύω	verb	"I loose, I destroy"	3	"present, active, indicative, 1st person, singular"	
ἁδελφός	noun	a brother	4	"masculine, singular, nominative"	
ἄνθρωπος	noun	"a man, a person"	4	"masculine, singular, nominative"	"plural form: men, people"
ἀπόστολος	noun	an apostle	4	"masculine, singular, nominative"	
δοῦλος	noun	"a slave, a servant"	4	"masculine, singular, nominative"	
δῶρον	noun	a gift	4	"neuter, singular, nominative"	
θάνατος	noun	a death	4	"masculine, singular, nominative"	
ἱερόν	noun	a temple	4	"neuter, singular, nominative"	
καί	conjunction	and	4		
λόγος	noun	a word	4	"masculine, singular, nominative"	
νόμος	noun	a law	4	"masculine, singular, nominative"	
οἶκος	noun	a house	4	"masculine, singular, nominative"	
υἱός	noun	a son	4	"masculine, singular, nominative"	
ἀλήθεια	noun	truth	5	"feminine, singular, nominative"	
βασιλεία	noun	a kingdom	5	"feminine, singular, nominative"	
γραφή	noun	"a writing, a Scripture"	5	"feminine, singular, nominative"	
δόξα	noun	glory	5	"feminine, singular, nominative"	
ἔἱρήνη	noun	peace	5	"feminine, singular, nominative"	
ἐκκλησία	noun	a church	5	"feminine, singular, nominative"	
ἐντολή	noun	a commandment	5	"feminine, singular, nominative"	
ζωή	noun	life	5	"feminine, singular, nominative"	
ἡμέρα	noun	a day	5	"feminine, singular, nominative"	
καρδία	noun	a heart	5	"feminine, singular, nominative"	
παραβολή	noun	a parable	5	"feminine, singular, nominative"	
φωνή	noun	a voice	5	"feminine, singular, nominative"	
ψυχή	noun	"a soul, a life"	5	"feminine, singular, nominative"	
ὡρα	noun	an hour	5	"feminine, singular, nominative"	
"ἀγαθός, -ή, -όν"	adjective	good	6	"singular, nominative"	
"ἄλλος, -η, -ο"	adjective	other	6	"singular, nominative"	
"δίκαιος, -α, -ον"	adjective	righteous	6	"singular, nominative"	
ἐγείρω	verb	I raise up	6	"present, active, indicative, 1st person, singular"	
ἔρημος	noun	a desert	6	"feminine, singular, nominative"	
"ἔσχατος, -η, -ον"	adjective	last	6	"singular, nominative"	
"κακός, -ή, -όν"	adjective	bad	6	"singular, nominative"	
"καλός, -ή, -όν"	adjective	"good, beautiful"	6	"singular, nominative"	
κύριος	noun	"a lord, the Lord"	6	"masculine, singular, nominative"	
"μικρός, -ά, -όν"	adjective	"little, small"	6	"singular, nominative"	
"νεκρός, -ά, -όν"	adjective	dead	6	"singular, nominative"	
ὁδός	noun	"a road, a way"	6	"feminine, singular, nominative"	
"πιστός, -ή, -όν"	adjective	faithful	6	"singular, nominative"	
"πρῶτος, -ή, -όν"	adjective	first	6	"singular, nominative"	
ἄγγελος	noun	"an angel, a messenger"	7	"masculine, singular, nominative"	
ἄγω	verb	I lead	7	"present, active, indicative, 1st person, singular"	
ἀπό	preposition	"with genitive, from"	7		
βάλλω	verb	"I throw, I cast, I put"	7	"present, active, indicative, 1st person, singular"	
διά	preposition	"with gen., through; with acc., on account of"	7		
εἱς	preposition	"with acc., into"	7		"when used with an articular infinitive, often expresses purpose (e.g. in order to _)."
ἐκ	preposition	"with gen., out of"	7		ἐξ before vowels
ἐν	preposition	"with dat., in"	7		
θεός	noun	"a god, God"	7	"masculine, singular, nominative"	
κόσμος	noun	a world	7	"masculine, singular, nominative"	
λίθος	noun	a stone	7	"masculine, singular, nominative"	
μαθητής	noun	a disciple	7	"masculine, singular, nominative"	
